sitename,sitetype,easting,northing,NO2annualmean2006,NO2annualmean2007,NO2annualmean2008,NO2annualmean2009,NO2annualmean2010,NO2annualmean2011,tem2006,tem2007,tem2008,tem2009,tem2010,tem2011,NO2modelled2006,NO2modelled2007,NO2modelled2008,NO2modelled2009,NO2modelled2010,NO2modelled2011,PM10annualmean2006,PM10annualmean2007,PM10annualmean2008,PM10annualmean2009,PM10annualmean2010,PM10annualmean2011,PM10modelled2006,PM10modelled2007,PM10modelled2008,PM10modelled2009,PM10modelled2010,PM10modelled2011,MISSINGALL,,Ozoneannualmean2006,Ozoneannualmean2007,Ozoneannualmean2008,Ozoneannualmean2009,Ozoneannualmean2010,PM25annualmean2006,PM25annualmean2007,PM25annualmean2008,PM25annualmean2009,PM25annualmean2010,SO2annualmean2006,SO2annualmean2007,SO2annualmean2008,SO2annualmean2009,SO2annualmean2010,COannualmean2006,COannualmean2007,COannualmean2008,COannualmean2009,COannualmean2010
South Ayrshire Ayr Harbour,Roadside,233617.25,622746.05,NA,NA,NA,NA,NA,NA,10.31166667,10.34083333,9.821666667,9.904166667,8.636666667,10.16583333,9.414009,12.36608,11.82284,12.1471,13.17552,10.55397,NA,NA,NA,NA,NA,NA,12.14417,11.09701,9.679325,10.47505,11.57531,11.5969,0,,,,,,,,,,,,,,,,,,,,,
South Ayrshire Ayr High St,Roadside,233720.43,622114.8,NA,NA,21,20,24,20,10.31166667,10.34083333,9.821666667,9.904166667,8.636666667,10.16583333,7.782608,10.4394,10.26001,10.70322,11.84555,9.604525,NA,NA,NA,17,16,NA,11.18609,10.55423,9.290166,10.07417,11.28397,11.276,98,,,,,,,,,,,,,,,,,,,,,
North Ayrshire Irvine High St,Kerbside,232142,638892,NA,NA,NA,NA,34,31,10.15166667,10.22083333,9.6925,9.761666667,8.605,9.955833333,10.55942,11.06424,10.71476,11.70308,11.99426,10.49112,NA,NA,NA,18,19,19,12.05863,10.95254,9.518708,11.15175,11.81911,11.81536,71,,,,,,,,,,,,,,,,,,,,,
East Ayrshire Kilmarnock John Finnie St,Roadside,242691,638095,NA,NA,NA,NA,NA,33,9.9225,9.9475,9.413333333,9.504166667,8.295,9.721666667,13.10619,22.26814,23.39863,22.99751,26.07799,13.18187,NA,NA,NA,NA,NA,11,12.27732,12.98654,11.86265,13.81697,13.66034,12.48632,0,,,,,,,,,,,,,,,,,,,,,
E Ayrshire Kilmarnock St Marnock St,Roadside,242742,637705,NA,NA,NA,NA,NA,NA,9.9225,9.9475,9.413333333,9.504166667,8.295,9.721666667,14.74915,14.30067,14.51197,14.80406,16.71064,13.64488,NA,NA,NA,NA,NA,NA,12.50158,11.60378,10.50141,11.92017,12.64286,12.61653,0,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire Glasgow Road,Roadside,240234.67,675198.79,NA,NA,19,23,27,18,9.7425,9.780833333,9.196666667,9.296666667,8.108333333,9.471666667,10.1538,12.3364,12.08829,11.70378,12.96261,11.4584,NA,NA,NA,NA,NA,NA,12.40489,11.95719,10.29975,10.56722,11.80838,11.87593,69,,,,,,,,,,,,,,,,,,,,,
Paisley Glasgow Airport,Airport,248294.8,666533.69,28,28,25,25,28,21,9.7625,9.784166667,9.190833333,9.315,8.1275,9.495,22.10511,15.47282,21.44676,21.90697,25.63613,21.01796,NA,NA,NA,NA,NA,NA,15.34069,12.2915,11.44897,12.22649,13.48837,13.32642,134,,,,,,,,,,,,5,NA,NA,NA,NA,,,,,
Paisley Central Road,Roadside,248445.41,664180.03,89,92,87,88,NA,52,9.925,9.939166667,9.3275,9.463333333,8.271666667,9.6475,23.21597,20.2331,19.02036,19.73101,23.29403,18.60697,NA,NA,NA,NA,NA,NA,15.37285,13.4539,11.84209,12.67026,14.18737,13.74182,356,,,,,,,,,,,,,,,,,,,,,
Paisley Gordon Street,Roadside,248316.83,663615.52,NA,NA,NA,34,42,NA,9.925,9.939166667,9.3275,9.463333333,8.271666667,9.6475,20.33118,18.91337,16.94074,17.75869,20.35702,14.79675,NA,NA,NA,18,21,16,13.93304,13.05462,11.16671,11.98518,13.47421,12.8727,115,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire Clydebank,Roadside,249721.28,672046.49,NA,25,24,26,26,21,8.931666667,8.9575,8.375,8.486666667,7.298333333,8.6675,13.80208,14.18004,15.14721,15.36592,15.19258,15.82566,NA,NA,14,NA,18,18,12.78207,12.12859,10.84906,11.75485,12.79114,13.16784,136,,,,,,,,,,,,,,,,,,,,,
Glasgow Waulkmillglen Reservoir,Rural,252455.25,658157.36,10,10,12,11,16,11,10.17833333,10.17083333,9.530833333,9.688333333,8.4775,9.885833333,12.57476,8.889045,8.314293,8.720303,10.7998,8.341717,15,15,14,11,12,14,12.26114,10.30865,9.090108,9.614141,11.34426,11.06564,126,,53,53,56,52,49,,,,,,,,,,,,,,,
East Dunbartonshire Bearsden,Roadside,254271.48,672072.75,39,40,41,43,47,39,8.020833333,8.035,7.4525,7.565833333,6.374166667,7.761666667,15.82123,14.57003,14.03921,15.1812,13.21203,13.94332,NA,22,21,NA,25,17,13.09278,11.87093,10.30183,11.24428,12.0699,12.37876,278,,,,,,,,,,,,,,,,,,,,,
Glasgow Dumbarton Road,Roadside,255030,666608,NA,NA,NA,NA,NA,NA,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,23.87103,20.61397,22.0625,21.57129,24.57107,23.02129,NA,NA,NA,NA,NA,NA,16.53597,14.05012,12.74423,13.43374,15.18385,15.16437,0,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Milngavie,Roadside,255325.27,674115.52,NA,NA,NA,NA,NA,NA,9.154166667,9.16,8.583333333,8.695833333,7.5,8.905833333,12.62433,12.53554,12.86485,13.74456,11.9194,12.51799,NA,NA,NA,NA,NA,NA,12.35926,11.46004,9.938295,10.72197,11.59799,11.93298,0,,,,,,,,,,,,,,,,,,,,,
Glasgow Byres Road,Roadside,256526.91,666936.95,41,40,43,40,47,NA,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,25.30457,22.23893,22.79165,22.55791,24.54555,21.25996,27,25,24,19,23,NA,16.5789,13.78687,12.30277,12.99042,14.58954,14.50046,329,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3
Glasgow Anderston,Urban Background,257940.81,665497.95,NA,NA,32,36,38,36,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,34.36998,29.06598,28.86551,27.35127,33.46974,28.99181,NA,NA,17,15,16,NA,19.20442,16.55264,16.01416,16.47406,18.7671,18.01057,154,,,,,,,,,,,,NA,NA,2,2,4,NA,NA,NA,0.1,0.2
Glasgow Kerbside,Kerbside,258713.92,665194.51,68,70,82,78,84,72,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,36.04473,33.69685,34.7648,34.17664,39.37876,31.62071,38,32,27,26,29,NA,19.61165,16.51956,15.35443,16.16719,18.33481,17.89767,522,,,,,,,NA,NA,NA,NA,23,,,,,,0.4,NA,NA,NA,NA
Glasgow Townhead,Urban Background,259692.6,665899.13,NA,NA,NA,NA,NA,NA,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,36.0335,28.95828,26.92762,26.36863,31.62606,25.03334,NA,NA,NA,NA,NA,NA,19.48305,15.33029,13.11777,13.70931,15.67662,15.23018,0,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Bishopbriggs,Roadside,260995.7,670132.48,33,32,33,33,33,NA,9.08,9.079166667,8.513333333,8.620833333,7.424166667,8.841666667,17.6433,15.16076,15.23894,16.438,14.19366,15.21983,22,22,17,19,19,NA,13.68868,12.48011,11.1093,11.63602,12.39037,12.84188,263,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire Rutherglen,Roadside,261113.75,661690.5,NA,NA,NA,NA,NA,NA,10.38583333,10.36916667,9.78,9.91,8.700833333,10.12416667,20.32717,18.22125,16.61137,16.22436,19.94638,16.33316,NA,NA,NA,NA,NA,NA,14.65317,13.04806,11.24092,11.69791,13.75845,13.2449,0,,,,,,,,,,,,,,,,,,,,,
Glasgow Burgher St.,Roadside,262549.48,664168.91,NA,NA,NA,NA,NA,NA,10.38583333,10.36916667,9.78,9.91,8.700833333,10.12416667,23.54107,20.42106,19.39523,19.34301,23.43677,17.36703,NA,NA,NA,NA,NA,NA,15.65843,13.32885,11.74854,12.27386,14.1845,13.60825,0,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire East Kilbride,Roadside,264384.55,655669.44,NA,NA,37,37,49,41,10.15583333,10.1375,9.546666667,9.6775,8.463333333,9.890833333,17.53038,18.14836,17.31345,17.90969,19.74507,14.51664,NA,NA,NA,15,17,26,14.8988,14.27856,12.85516,12.42661,13.90811,13.27987,155,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Kirkintilloch,Roadside,265683.75,673520.86,NA,NA,37,42,45,43,9.389166667,9.3775,8.816666667,8.9275,7.729166667,9.148333333,14.68746,14.50164,14.79971,15.55597,14.75675,14.32684,NA,NA,NA,23,26,19,12.51289,11.98576,10.8236,11.57708,12.57471,12.62164,173,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire Uddingston,Roadside,269657,660307,NA,NA,NA,NA,NA,NA,9.709166667,9.686666667,9.119166667,9.239166667,8.033333333,9.459166667,21.00393,20.24827,19.11082,19.36784,22.88914,23.92332,NA,NA,NA,NA,NA,NA,14.58541,13.23257,11.4986,11.97026,13.72052,14.06473,0,,,,,,,,,,,,,,,,,,,,,
N Lanarkshire Moodiesburn,Roadside,269929,670386,NA,NA,NA,37,43,25,9.389166667,9.3775,8.816666667,8.9275,7.729166667,9.148333333,17.32388,15.05595,15.26474,16.12291,15.89643,15.09651,NA,NA,NA,NA,20,NA,13.06351,12.01765,10.9921,11.93868,12.76649,12.86303,100,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire Raith Interchange,Roadside,271108,658235.33,NA,NA,NA,NA,NA,56,10.175,10.13916667,9.5875,9.700833333,8.490833333,9.923333333,20.65011,24.98923,23.39524,23.77926,29.25314,24.34971,NA,NA,NA,NA,NA,17,14.59542,14.42991,13.75281,14.22204,16.18608,15.98787,0,,,,,,,,,,,,,,,,,,,,,
N Lanarkshire Croy,Roadside,272770.4,675740.3,NA,NA,25,NA,NA,21,7.624166667,7.605,7.055833333,7.165,5.961666667,7.384166667,10.68913,10.95111,11.08094,12.42974,11.77544,12.01828,NA,NA,23,NA,NA,19,12.41931,11.19481,9.964663,10.95687,11.54379,11.95927,45,,,,,,,,,,,,NA,NA,2,2,NA,,,,,
South Lanarkshire Hamilton,Roadside,272298,655289,NA,NA,NA,NA,NA,NA,10.175,10.13916667,9.5875,9.700833333,8.490833333,9.923333333,18.82491,20.33661,18.51736,18.58866,21.76464,16.83488,NA,NA,NA,NA,NA,NA,14.08777,13.77014,12.4304,12.88451,14.4391,13.85805,0,,,,,,,,,,,,,,,,,,,,,
N Lanarkshire Shawhead Coatbridge,Roadside,273411,662997,NA,NA,NA,NA,41,36,9.6625,9.629166667,9.073333333,9.19,7.985833333,9.411666667,19.86092,23.80604,24.24272,24.88967,26.95878,24.09938,NA,NA,NA,NA,19,18,14.20222,14.1662,13.94741,14.8658,16.51626,16.37338,60,,,,,,,,,,,,,,,,,,,,,
